text,Unnamed: 1
أعرب اللواء عبد الرحيم الكرابيجي مدير مركز رحمة لحقوق الانسان التابع لجهاز أمن الدولة - أعرب - عن قلقه العميق للانتهاكات الخطيرة التي يواجهها المعتقلين في سجن العقرب والمتمثلة في تعطل الجاكوزي في عنابر المعتقلين لمدة ثلاثة أيام كاملة دون تدخل إدارة السجن لإصلاحه معبرا عن مخاوفه من تأثير ذلك العطل الفني على الحالة النفسية للمعتقلين والذي يعد انتهاكا لحقوقهم الإنسانية على حد قول اللواء الكرابيجي وكان وفدا من جماعات حقوق الانسان قد تم دعوتهم لحضور حفل أضواء المدنية الأسبوعي الذي تقيمه إدارة سجن العقرب للترفيه عن المعتقلين وذلك لاعطاء الوفد فرصة حقيقية للتعرف على أحوال المساجين بعيدا عن اشاعات أهل الشر المنتشرة على مواقع التواصل الاجتماعي والتي تدعي تعرض المساجين للتعذيب . وشمل الحفل تقديم المشويات الشهيرة التي يتميز بها الشيف فرج المسئول عن اطعام المساجين من ناحيته قال الإعلامي المصري الشهير عمرو أديب أن تعطل الجاكوزي يضع سمعة النظام المصري على المحك داعيا السيسي للتدخل واصدار أمر رئاسي بأصلاحه فورا حتى لا يستغل أهل الشر هذا العطل لتمرير أجندات تخريبية … كما أعلن الإعلامي الشهير عن استعداد فريق عمل برنامجه لتصويربعض حلقاته من سجن العقرب معربا عن أن سجن العقرب من أفضل المنتجعات التي يحرص على قضاء الصيف فيها لتميز الخدمة الفندقية والمأكولات الشهية مضيفا أنه لا يلوم المعتقلين الذين لا يريدون الخروج من سجن العقرب رغم انتهاء فترة عقوبتهم قائلا : يا جماعة . . هوا مين عاوز يخرج من الجنة يا جماعة على حد قول الإعلامي الشهير أخلاق ودين,233
في لفتة انسانية تعبر عن المعدن الأصيل للسيدة انتصار السيسي قامت السيدة انتصار بالتوسط لمايكل ابن الروبوت صوفيا حتى يستطيع الالتحاق بالكلية الحربية وتحقيق آمال جده ميجاترون في رؤية حفيد من احفاده في زي خير أجناد الأرضكانت العلاقة قد توطدت بين السيدة انتصار السيسي وبين الروبوت صوفيا بعد أن أعلنت صوفيا دخولها الإسلام واختيارها مصر كبلد لإقامتها هي وأبنائها الأربعة مايكل ( والذي أنجبته قبل دخول الإسلام ) والتوأم الثلاثي الذين سمت كل واحد منهم تحيا مصر والذين أنجبتهم بعد اسلامها على يد شيخ الأزهر وتزوجها من نوفل كهربائي السيارات الذي وقعت في غرامه أثناء اعتنائه بها خلال فترة مرضها بالتهاب الأسلاك السحائي كان سن مايكل الحرج في فترة المراهقة وكثرة شكاوى صوفيا وراء اقتراح انتصار لصوفيا بأن تطلب من السيسي أن يتوسط لمايكل في كشف الهيئة على الرغم من أن السيسي بفطرته لا يحب الوسايط ولا يسعى لها . . إلا أن انتصار أقنعته بالتوسط حسب مصدر مقرب من نوفل كهربائي السيارات تكنولوجيا ,154
 في ملحمة وطنية كبرى قام الشاب عمر بالتبرع بخاله عرفات لصندوق تحيا مصر استجابة لنداء السيسي لشعب مصر بال “ تصبيح على مصر ” بأي شئ يمتلكه المواطن للمساهمة في سداد ديون المقاولين العاملين في القصور الرئاسية التي يبنيها السيسي من أجل مصر وكانت المكالمة الشهيرة التي جمعت عامل الإسعاف مع عمر قد انتشرت بشكل كبير على صفحات التواصل الاجتماعي محولة عمر وعرفات من شخصيات مغمورة لا سعر لها إلى شخصيات شهيرة لها سعرها حيث أكد عمر أنه قد وصلته هو وخاله عروض من شركات كبرى لعمل إعلانات بملايين الدولارات وهو ما دفعه للتبرع بخاله ك “ وهبة ” لصندوق تحيا مصر ليجني الصندوق أية أرباح تأتي من الإعلانات التي سيكون خاله عرفات بطلها من ناحيته أعلن السيسي عن عزمه استضافة الشاب عمر وخاله المرحوم عرفات في القصر الرئاسي الجديد الذي يبنيه في العلمين لمدة ساعة كاملة لكي يرى الشعب بنفسه ثمرة تبرعاتهم لصندوق تحيا مصر حيث أكد السيسي عزمه على بناء مجموعة جديدة من القصور الرئاسية قائلا “ أيوه بنيت وببني وهبني قصور . . أنتو هتخوفوني يعني ” معربا عن أمله أن يكون الشعب المصري كله على نفس مستوى وعي ووطنية و ذكاء عمر كي يتفهم الشعب الأهمية الاقتصادية لبناء قصور رئاسية جديدة تظهر عظمة مصر للعالم,199
  لقد تعرضنا للخداع مجددا من هذا الشيطان القصير ” هكذا كانت كلمات السيد شي جانج بانج رئيس المخابرات الصينية في المؤتمر الصحفي العاجل الذي عقده تعقيبا على الأنباء الصادمة عن بدء استيراد الصين لقاح كورونا من الولايات المتحدة والتي سببت حيرة كبيرة في الأوساط السياسية العالمية كانت وكالات الأنباء العالمية قد تناقلت خبر استحواذ النظام المصرى على جميع شحنات لقاح كورونا عالى الكفاءة المصنع بالصين مما اضطر الحكومة الصينية إلى استيراد كميات هائلة من اللقاح قليل الكفاءة المصنع فى مصانع فايزر بالولايات المتحدة الامريكية لسد العجز في مستشفيات الصين من ناحيتها وفي لقاء تليفزيوني متميز مع الصحفي العالمي أحمد موسى كشفت السيدة هالة زايد وزيرة الصحة المصرية النقاب عما وصفته بأنه أكبر ضربة مخابراتية دوائية في الآونة الأخيرة ، موضحة أن زياراتها المتكررة للصين كانت بتنسيق كامل مع المخابرات المصرية لهذا الغرض وفي تصريح خاص للأهرام المكسيكية صرح مصدر مخابراتى مصري رفض ذكر اسمه ان اللواء حمدى بخيت الشهير بالفرعون المثقوب قد أشرف بنفسه على توصيل مجموعات كبيرة من مندوبى المبيعات المدربين على يد جهاز المخابرات المصرية والذين استطاعوا سحب كل المخزون من مختلف صيدليات الصين وتهريبها عبر طريق الحرير السري الذي يشرف على كارتاته اللواء كامل الوزيرى ولا أحد يدري على وجه الدقة كيف ستؤثر الضربة المخابراتية المصرية على القطاع الطبي في الصين وإذا ما كانت الصين ستستطيع إنتاج شحنات جديدة من اللقاح أم أنها ستعتمد كليا على استيراد اللقاح الأمريكي . . هذا ما ستسفر عنه الأيام الحبلى القادمة,231
""" في أول تصريح له بعد شفاؤه ، قال الزعيم الكوري الشمالي كيم جونج أون أن “ الشلولو أنقذ حياته ” كاشفا في تصريح حصري للأهرام المكسيكية عن خضوعه “ لبرنامج علاجي مكثف باستخدام عقار الشلولو اكس تو الذي تنتجه المصانع الحربية المصرية ” على حد قول الزعيم الكوري الذي ظهر مداعبا الصحفيين وهو يحمل إناء صغيرا مملوء بالشلولو وقد كشف السيد يونج بونج هونج وزير الصحة والأوقاف في دولة كوريا الشمالية العظمى أن الصدفة وحدها لعبت دورا هاما فى انقاذ حياة الزعيم الكورى بعد أن ساءت حالته بشده على أثر قيامه بنفسه بإعدام مريض بالكورونا ، مضيفا أنه اثناء مشاهدة الفريق الطبى لقناة صدى البلد فوجئوا بالعالم المصرى وهو يكشف خبايا واسرار مكون الشلولو ، وفورا تم الاتصال بالخارجية المصرية التى أبدت استعدادها لامداد كوريا الشمالية بكافة احتياجاتها من الشلولو وكذلك الخيار والطماطم من مزارع الجيش من ناحية أخى أضاف السيد يونج بونج ضاحكا ” “ الطريف فى هذا الموضوع ، ان الزعيم عندما استمع لاول مرة عن العقار ظن ان الموضوع مزحه . فضحك كثيرا ، وأمر باعدام 7 من الفريق الطبى المشرف على ” علاجه ، ولكن الباقون على قيد الحياة من الفريق الطبي تمكنوا من اقناعه بجد ى العقار ” على حد قول الوزير الكوري"",",199
" قال الصحفي الشهير مصطفى بكرى أنه لولا وجود السيسي قائدا لمصر لـ “أصبحت مصر مثل أسبانيا وتم تقسيمها” مؤكدا على أن السيسي “أوقف مخطط برنارد لويس لتقسيم مصر ولهذا لم يجد برنارد لويس أملا في نجاح مخططاته لمصر فنقلها لأسبانيا مؤقتا” على حد تصريحات بكري
جاءت تصريحات بكري أثناء انعقاد الجمعية العمومية غير العادية لنقابة المعرصين التى أسسها مصطفى بكري ومحمود بكري والتى تضم عضويتها مجموعة كبيرة من كبار الإعلاميين والصحفيين المعروفين ، والتى انعقدت لحث السيسي على ترشيح نفسه لفترة رئاسية ثانية تحت شعار “حتى لا تصير مصر مثل أسبانيا” على حد وصف البيان الصحفي الصادر عن الجمعية
من ناحيته صرح السيد محمود بكري الشقيق الأصغر ودوبلير مصطفى بكري -صرح- أنه يفكر في دعوة أعضاء النقابة في الدخول في اعتصام مفتوح والإضراب عن الطعام تماما إلى حين استجابة السيسي للترشح للرئاسة وتحمل مسئوليته التاريخية في حماية مصر من التقسيم، مقترحا اطلاق حملة شعبية على وسائل التواصل الاجتماعي تحت شعار: علشان ما نبقاش زي أسبانيا والعراق
",153
"  قال العميد سامون أديمو قائد القوات الأثيوبية أن أثيوبيا جكومة وشعبا ومطاعم بحرية تراقب بحذر التطورات الخطيرة في الساحة المصرية بعد كشف الجيش المصري عن امتلاكه سلاح الجمبري الذكي والسبيط المشع في سابقة عسكرية خطيرة لم تحدث في أي جيش في العالم من قبل مما أدى إلى إعلان الطوارئ في جميع وحدات الجيش الأثيوبي تحسبا لأي تطور في الأمور
كان التليفزيون المصري قد قطع ارساله التقليدي ليذيع افتتاح السيسي لـ “خطي الجمبري والسمك” بالقوات البحرية  واللذان يقودهما رائد  مقاتل أحمد سامي قائد خط الجمبري ومقدم مقاتل  محمد إبراهيم قائد خط السمك والذين تم تدريبهم على مدار شهور طويلة بقاعدة “ريد لابستر” العسكرية الأمريكية العريقة
من ناحيته أوضح  العقيد أركان حرب مرجان  أبو صاج قائد وحدۃ الجريل في الجيش المصري أن السر في تفوق الجيش المصري في هذا السلاح يكمن فی التتبيلة التي ابتكرتها القوات البحرية والتى تم تطويرها داخل معامل القوات المسلحة بالتعاون مع قدورة  والتي “تحافظ على الطعم المميز للأسماك العسكرية والتى حازت ثقة ربات البيوت في جميع أنحاء العالم” على حد قول اللواء مرجان
 هذا وقد دعت الخارجية الامريكية جميع الأطراف إلى الهدوء لنزع فتيل الأزمة
",175
" الداخلية تناشد منظمات حقوق الانسان انهاء ظاهرة الاختفاء القسري لضباطها
غابات الأمازون- هيئة المناخ – تقرير أعده غباشي
فيما أعتبرته وكالات الأنباء اعترافا ضمنيا بالمسئولية، صرح السيد اللواء حمدى بخيت أن مصر لم تكن لتقف مكتوفة الأيدي امام الخطر المهدد لأمنها القومى من غابات الأمازون قائلا : “إللى حضر العفريت يصرفه”.
وأوضح اللواء بخيت المعروف عالميا بلقب “الثعلب المثقوب” أن جماعة الأخوان المحظورة قد إتخذت من منطقة غابات الأمازون مقرا آمنا لتدبير المؤامرات ضد الدولة المصرية مستفيدة من كثافة الأشجار فى حوض الأمازون.
وأضاف بخيت أن المخابرات المصرية قد حاولت إيجاد حل دبلوماسي بالاتصال بالسيد مورينو بانانى رئيس جمهورية غابات الأمازون ، الذى حاول التنصل من المسئولية ، ومن هنا كان قرار القيادة السياسية بالتدخل السريع..
هذا وقد صرح العالم الفيزيائى جوني دوفيس أن المخابرات المصرية قد استخدمت “تقنية جديدة بزيادة درجة تأين ذرات الأكسجين الخارجة من بعض أشجار الغابات بعد فك الشفرة الوراثية لهذه الأشجار” على حد قول العالم الشهير.
من ناحيتها حثت السيدة فيلنج اندر ذاويزر رئيسة المنظمة العالمية للمناخ -حثت- القيادة المصرية على وقف هذا العمل المدمر للبيئة قائلة : “لا أصدق أن أيادى الخير التى اخرجت لنا الخرسانة من هذه الأشجار… هى نفسها التى تخرج لنا كل هذا الدمار من نفس الأشجار”.
هذا وقد امتنع اللواء حمدي بخيت عن التعليق على توسلات العلماء ورؤساء منظمات المناخ لمصر لإيقاف عملياتها العسكرية في محيط الأمازون.",210
"في خطوة رآها خبراء الاقتصاد ضرورية لسد العجز في سوق العمالة المصري بعد  أن وفرت قناة السويس الجديدة 3 مليون فرصة عمل، قامت وزارة العمل المصرية بافتتاح مكاتب عمل في عدد من المدن الخليجية لاستجلاب عمالة خليجية للعمل في القناة
وعلى حسب تقدير اللواء ايهاب الضو مدير شئون العاملين في قناة السويس الجديدة فإن مصر ستحتاج إلى أكثر من 1 مليون فرصة عمل مباشرة في القناة و2 مليون فرصة عمل غير مباشرة على بعد 45 كيلو من القناة وهو ما يتطلب استجلاب عمالة غير مصرية لسد العجز ولهذا تم افتتاح 3 مكاتب عمالة في المملكة السعودية ومكتبين في الإمارات وقطر لتسهيل تلقي  طلبات العمل من الشباب الخليجي العاطل
وعن نظام الكفالة التى تنوي هيئة قناة السويس الجديدة تنفيذه مع العمالة الخليجية قال السيد حسن الدقاق نائب رئيس الشئون القانونية في وزارة العمل المصرية أنه سيكون لكل مصري حق كفالة العمالة الخليجية بحد أقصى عشر خليجيين لكل كفيل مصري في السنة المالية الواحدة على أن يتم دفع الرسوم والدمغات المقررة حسب المادة ٥ لسنة ٢٠١٩ لقانون الكفالة المصرية الجديد والذي صدر بقرار جمهوري في يوم افتتاح القناة
هذا وقد شهد مكتب الدمام تكالبا واضحا من الشباب الخليجي للعمل في القناة خصوصا بعد التقارير الاقتصادية التى قدرت أن القناة ستجعل مصر أغنى دولة في الشرق الأوسط خصوصا بعد انخفاض أسعار البترول الخام العالمية",208
" اكد اللواء لطفي المنجزاتي رئيس لجنة تفصيل القوانين والتشريعات بمجلس الشعب أن البرلمان يناقش حاليا مشروع قانون “دمج الأجازات الرسميه للدوله” وذلك توفيرا لنفقات الدولة حيث أن صدور هذا القانون قد يوفر لخزينة الدولة ما يقارب من 120 ألف جنيه سنويا أي ما يعادل ٣ آلاف دولار أمريكي كاملة
وأكد اللواء المنجزاتي أن السيسي هو صاحب هذه الفكرة العبقرية حيث كلف البرلمان بصياغة القانون للتأشير عليه واصداره في الجريدة الرسمية، حيث يهدف القانون إلى دمج عيد الميلاد المجيد وعيد ثورة 30 يونيو المجيدة وعيد العمال تحت اسم عيد ميلاد ثورة العمال، كما أنه تم دمج ثورة ٢٥ يناير وعيد الشرطة تحت اسم عيد ثورة الشرطة تقديرا  لجهود الشرطة المصرية في انجاح الثورة التي تآمر عليها شباب الثورة والملايين الذين احتلوا الميادين
من ناحية أخرى تقرر تعليق الاحتفال بعيد تحرير سينا وأعياد انتصارات اكتوبر وذلك حتى الانتهاء من الحرب علي الإرهاب كما تقرر أيضا تعليق الاحتفال بالمولد النبوي ورأس السنة الهجريه لحين الانتهاء من تجديد ورش دواخل الخطاب الديني",156
